,GeoUID,Type,Region Name,Area (sq km),Population,Dwellings,Households,CMA_UID,PR_UID,CSD_UID,CD_UID,v_CA16_2397: Median total income of households in 2015 ($),v_CA16_2345: Total - Employment income groups in 2015 for the population aged 15 years and over in private households - 100% data,"v_CA16_5096: Total - Highest certificate, diploma or degree for the population aged 25 to 64 years in private households - 25% sample data",v_CA16_4895: Median value of dwellings ($),v_CA16_4893: Median monthly shelter costs for owned dwellings ($),v_CA16_4900: Median monthly shelter costs for rented dwellings ($),v_CA16_4862: Total - Occupied private dwellings by period of construction - 25% sample data,v_CA16_404: Total private dwellings,"v_CA16_401: Population, 2016",v_CA16_4836: Total - Private households by tenure - 25% sample data,v_CA16_4: 0 to 14 years,v_CA16_1: Age Stats,v_CA16_61: 15 to 64 years,v_CA16_244: 65 years and over,v_CA16_6692: Total - Mobility status 1 year ago - 25% sample data,v_CA16_6719: Total - Mobility status 5 years ago - 25% sample data
102,9330059.09,CT,Vancouver,0.19984,6911.0,4861.0,4509.0,59933,59,5915022,5915,55936.0,6330.0,5265.0,574091.0,1637.0,1441.0,4485.0,4861.0,6911.0,4485.0,255.0,6910.0,6200.0,455.0,6495.0,6360.0
103,9330059.10,CT,Vancouver,0.19921,6298.0,4309.0,3924.0,59933,59,5915022,5915,62771.0,5760.0,4720.0,549423.0,1576.0,1590.0,3925.0,4309.0,6298.0,3925.0,275.0,6300.0,5525.0,500.0,5965.0,5845.0
104,9330059.11,CT,Vancouver,0.7706,7163.0,5202.0,4256.0,59933,59,5915022,5915,65920.0,6545.0,5375.0,599085.0,1699.0,1723.0,4260.0,5202.0,7163.0,4255.0,270.0,7160.0,6460.0,430.0,6750.0,6625.0
105,9330059.13,CT,Vancouver,0.31895,4753.0,2960.0,2596.0,59933,59,5915022,5915,72082.0,4320.0,3505.0,552785.0,1617.0,1808.0,2560.0,2960.0,4753.0,2560.0,240.0,4750.0,4280.0,230.0,4525.0,4410.0
106,9330059.14,CT,Vancouver,0.59079,8833.0,5328.0,4861.0,59933,59,5915022,5915,78822.0,8000.0,6600.0,648539.0,1751.0,1720.0,4895.0,5328.0,8833.0,4900.0,735.0,8840.0,7385.0,725.0,8595.0,8310.0
107,9330060.01,CT,Vancouver,0.14833,3124.0,2174.0,2058.0,59933,59,5915022,5915,53299.0,3030.0,2235.0,401170.0,844.0,1326.0,2045.0,2174.0,3124.0,2050.0,100.0,3125.0,2605.0,420.0,3015.0,2980.0
108,9330060.02,CT,Vancouver,0.23171,5986.0,4109.0,3987.0,59933,59,5915022,5915,49998.0,5760.0,4570.0,499924.0,1406.0,1266.0,3995.0,4109.0,5986.0,3995.0,225.0,5985.0,4905.0,850.0,6030.0,5970.0
109,9330061.00,CT,Vancouver,0.21193,5111.0,3659.0,3509.0,59933,59,5915022,5915,51531.0,4940.0,3790.0,501476.0,885.0,1265.0,3510.0,3659.0,5111.0,3510.0,170.0,5110.0,4230.0,705.0,5125.0,5060.0
110,9330062.00,CT,Vancouver,0.16862,3426.0,2512.0,2355.0,59933,59,5915022,5915,58423.0,3310.0,2250.0,599062.0,764.0,1367.0,2325.0,2512.0,3426.0,2325.0,115.0,3425.0,2350.0,960.0,3425.0,3375.0
111,9330063.00,CT,Vancouver,0.18512,3978.0,2689.0,2549.0,59933,59,5915022,5915,52425.0,3670.0,2960.0,450252.0,804.0,1222.0,2555.0,2689.0,3978.0,2550.0,215.0,3975.0,3110.0,645.0,3915.0,3830.0
112,9330064.00,CT,Vancouver,0.2389,4658.0,3192.0,3085.0,59933,59,5915022,5915,48768.0,4440.0,3630.0,439953.0,1339.0,1214.0,3095.0,3192.0,4658.0,3095.0,185.0,4660.0,4035.0,435.0,4615.0,4565.0
113,9330065.00,CT,Vancouver,0.24101,7147.0,4801.0,4515.0,59933,59,5915022,5915,50613.0,6670.0,5210.0,549755.0,1373.0,1217.0,4505.0,4801.0,7147.0,4510.0,295.0,7145.0,5905.0,945.0,6910.0,6825.0
114,9330066.00,CT,Vancouver,0.52863,8639.0,5910.0,4599.0,59933,59,5915022,5915,71774.0,7910.0,6170.0,801997.0,1735.0,1719.0,4595.0,5910.0,8639.0,4600.0,690.0,8640.0,7035.0,920.0,8515.0,8260.0
115,9330067.01,CT,Vancouver,0.18628,3772.0,2633.0,2544.0,59933,59,5915022,5915,43989.0,3625.0,2635.0,500293.0,905.0,1111.0,2540.0,2633.0,3772.0,2540.0,150.0,3775.0,2975.0,645.0,3650.0,3600.0
116,9330067.02,CT,Vancouver,0.2353,4773.0,3016.0,2585.0,59933,59,5915022,5915,63206.0,4405.0,3085.0,1204054.0,1509.0,1513.0,2585.0,3016.0,4773.0,2580.0,355.0,4775.0,3625.0,790.0,4670.0,4570.0
117,9330068.00,CT,Vancouver,4.27161,5085.0,3662.0,3493.0,59933,59,5915022,5915,50667.0,4865.0,3730.0,550756.0,931.0,1214.0,3525.0,3662.0,5085.0,3525.0,215.0,5085.0,4000.0,875.0,5090.0,4975.0
