,GeoUID,Type,Region Name,Area (sq km),Population,Dwellings,Households,CMA_UID,PR_UID,CSD_UID,CD_UID,v_CA16_2397: Median total income of households in 2015 ($),v_CA16_2345: Total - Employment income groups in 2015 for the population aged 15 years and over in private households - 100% data,"v_CA16_5096: Total - Highest certificate, diploma or degree for the population aged 25 to 64 years in private households - 25% sample data",v_CA16_4895: Median value of dwellings ($),v_CA16_4893: Median monthly shelter costs for owned dwellings ($),v_CA16_4900: Median monthly shelter costs for rented dwellings ($),v_CA16_4862: Total - Occupied private dwellings by period of construction - 25% sample data,v_CA16_404: Total private dwellings,"v_CA16_401: Population, 2016",v_CA16_4836: Total - Private households by tenure - 25% sample data,v_CA16_4: 0 to 14 years,v_CA16_1: Age Stats,v_CA16_61: 15 to 64 years,v_CA16_244: 65 years and over,v_CA16_6692: Total - Mobility status 1 year ago - 25% sample data,v_CA16_6719: Total - Mobility status 5 years ago - 25% sample data
53,9330033.02,CT,Vancouver,0.44716,3136.0,1143.0,1020.0,59933,59,5915022,5915,70827.0,2640.0,1635.0,1247649.0,1564.0,949.0,1010.0,1143.0,3136.0,1010.0,495.0,3135.0,2190.0,455.0,2880.0,2765.0
54,9330034.01,CT,Vancouver,0.67336,5221.0,1932.0,1784.0,59933,59,5915022,5915,64128.0,4485.0,2805.0,1201082.0,902.0,997.0,1780.0,1932.0,5221.0,1780.0,710.0,5225.0,3665.0,845.0,4935.0,4785.0
55,9330034.02,CT,Vancouver,1.37365,7294.0,2650.0,2487.0,59933,59,5915022,5915,72290.0,5950.0,4080.0,1199845.0,1335.0,1002.0,2485.0,2650.0,7294.0,2485.0,1075.0,7295.0,4995.0,1230.0,6940.0,6540.0
56,9330035.01,CT,Vancouver,0.72093,4298.0,1701.0,1535.0,59933,59,5915022,5915,68693.0,3770.0,2375.0,1296500.0,681.0,1001.0,1525.0,1701.0,4298.0,1525.0,520.0,4300.0,3060.0,715.0,4050.0,3990.0
57,9330035.02,CT,Vancouver,1.54494,7002.0,2845.0,2634.0,59933,59,5915022,5915,64922.0,5985.0,3905.0,1199527.0,743.0,983.0,2635.0,2845.0,7002.0,2635.0,915.0,7005.0,4790.0,1300.0,6860.0,6575.0
58,9330036.01,CT,Vancouver,1.36961,6222.0,2215.0,2087.0,59933,59,5915022,5915,66011.0,5355.0,3470.0,1298746.0,780.0,964.0,2090.0,2215.0,6222.0,2085.0,765.0,6225.0,4315.0,1140.0,6070.0,5850.0
59,9330036.02,CT,Vancouver,1.46931,6140.0,2225.0,2046.0,59933,59,5915022,5915,73813.0,5315.0,3505.0,1431035.0,1033.0,1001.0,2045.0,2225.0,6140.0,2050.0,800.0,6140.0,4350.0,990.0,6080.0,5910.0
60,9330037.01,CT,Vancouver,0.60169,4960.0,2215.0,2017.0,59933,59,5915022,5915,70869.0,4200.0,3190.0,1203761.0,1577.0,1149.0,2010.0,2215.0,4960.0,2010.0,730.0,4960.0,3810.0,425.0,4770.0,4540.0
61,9330037.02,CT,Vancouver,0.51895,3680.0,1694.0,1599.0,59933,59,5915022,5915,64192.0,3185.0,2455.0,1002925.0,1535.0,1099.0,1600.0,1694.0,3680.0,1600.0,435.0,3680.0,2865.0,380.0,3665.0,3545.0
62,9330038.00,CT,Vancouver,0.58903,5817.0,3024.0,2899.0,59933,59,5915022,5915,67776.0,4880.0,4220.0,598328.0,1676.0,1089.0,2905.0,3024.0,5817.0,2905.0,575.0,5820.0,4705.0,540.0,5480.0,5265.0
63,9330039.01,CT,Vancouver,0.71415,5896.0,3578.0,3369.0,59933,59,5915022,5915,67191.0,5335.0,4410.0,802320.0,1721.0,1111.0,3365.0,3578.0,5896.0,3370.0,550.0,5895.0,4790.0,555.0,5820.0,5565.0
64,9330039.02,CT,Vancouver,0.6033,5794.0,3098.0,2986.0,59933,59,5915022,5915,70459.0,4780.0,3695.0,600341.0,1285.0,1308.0,2985.0,3098.0,5794.0,2985.0,640.0,5795.0,4120.0,1035.0,5350.0,5110.0
65,9330040.01,CT,Vancouver,0.27049,4106.0,2990.0,2844.0,59933,59,5915022,5915,53606.0,3950.0,3195.0,500472.0,1331.0,1146.0,2835.0,2990.0,4106.0,2840.0,160.0,4110.0,3590.0,355.0,4095.0,4035.0
66,9330040.02,CT,Vancouver,0.3166,4601.0,3003.0,2953.0,59933,59,5915022,5915,59975.0,4260.0,3280.0,550122.0,872.0,1153.0,2995.0,3003.0,4601.0,3000.0,235.0,4605.0,3685.0,680.0,4510.0,4435.0
67,9330041.01,CT,Vancouver,0.38099,4450.0,2868.0,2774.0,59933,59,5915022,5915,64402.0,4150.0,3020.0,598260.0,1056.0,1342.0,2740.0,2868.0,4450.0,2735.0,185.0,4450.0,3445.0,815.0,4245.0,4170.0
68,9330041.02,CT,Vancouver,1.0012,7411.0,3965.0,3697.0,59933,59,5915022,5915,81385.0,6325.0,4690.0,799242.0,1228.0,1513.0,3735.0,3965.0,7411.0,3735.0,885.0,7410.0,5360.0,1165.0,7255.0,6960.0
69,9330042.00,CT,Vancouver,1.08738,6482.0,2964.0,2640.0,59933,59,5915022,5915,85797.0,5480.0,3545.0,2205802.0,1176.0,1456.0,2640.0,2964.0,6482.0,2640.0,1005.0,6480.0,4630.0,850.0,6425.0,6210.0
70,9330043.01,CT,Vancouver,0.71126,4040.0,1908.0,1673.0,59933,59,5915022,5915,75744.0,3475.0,1960.0,2689180.0,1194.0,1407.0,1665.0,1908.0,4040.0,1660.0,565.0,4040.0,2815.0,660.0,3990.0,3875.0
71,9330043.02,CT,Vancouver,0.99667,4333.0,1760.0,1596.0,59933,59,5915022,5915,98645.0,3590.0,2240.0,3003179.0,1280.0,1650.0,1605.0,1760.0,4333.0,1605.0,735.0,4330.0,2895.0,705.0,4340.0,4185.0
72,9330044.00,CT,Vancouver,2.84822,4700.0,2273.0,2112.0,59933,59,5915022,5915,83456.0,4090.0,2300.0,2797671.0,1416.0,1228.0,2075.0,2273.0,4700.0,2070.0,595.0,4695.0,2955.0,1140.0,4530.0,4425.0
73,9330045.01,CT,Vancouver,0.67288,4803.0,2598.0,2364.0,59933,59,5915022,5915,87836.0,4270.0,3035.0,1451469.0,1308.0,1629.0,2400.0,2598.0,4803.0,2405.0,490.0,4805.0,3585.0,725.0,4825.0,4695.0
74,9330045.02,CT,Vancouver,0.73341,5870.0,2990.0,2780.0,59933,59,5915022,5915,76096.0,5150.0,3675.0,1500144.0,1178.0,1548.0,2780.0,2990.0,5870.0,2780.0,705.0,5870.0,4515.0,650.0,5795.0,5560.0
75,9330046.00,CT,Vancouver,0.49188,5158.0,3195.0,3057.0,59933,59,5915022,5915,61600.0,4750.0,3500.0,651215.0,1168.0,1179.0,3015.0,3195.0,5158.0,3015.0,395.0,5160.0,4100.0,665.0,4960.0,4860.0
76,9330047.01,CT,Vancouver,0.33248,3662.0,2444.0,2264.0,59933,59,5915022,5915,70459.0,3330.0,2495.0,750012.0,1018.0,1329.0,2245.0,2444.0,3662.0,2245.0,185.0,3660.0,2705.0,775.0,3460.0,3375.0
77,9330047.02,CT,Vancouver,0.39158,4102.0,2796.0,2682.0,59933,59,5915022,5915,66901.0,3900.0,3165.0,500763.0,1286.0,1303.0,2705.0,2796.0,4102.0,2700.0,205.0,4105.0,3525.0,375.0,4090.0,4025.0
78,9330048.00,CT,Vancouver,1.21983,7932.0,5085.0,4775.0,59933,59,5915022,5915,67149.0,7250.0,5660.0,661197.0,1376.0,1301.0,4775.0,5085.0,7932.0,4775.0,610.0,7925.0,6260.0,1050.0,7730.0,7545.0
79,9330049.01,CT,Vancouver,1.55085,13855.0,8528.0,7726.0,59933,59,5915022,5915,89971.0,12440.0,10315.0,681505.0,1768.0,1658.0,7725.0,8528.0,13855.0,7730.0,1155.0,13850.0,11430.0,1265.0,13385.0,12875.0
80,9330049.02,CT,Vancouver,0.85075,5968.0,3249.0,3143.0,59933,59,5915022,5915,78176.0,5185.0,3090.0,751835.0,1022.0,1251.0,3140.0,3249.0,5968.0,3145.0,590.0,5970.0,3505.0,1880.0,5720.0,5540.0
